kernel,grid_cells,ms_per_step,particles_per_sec,steps_per_sec,elapsed_s,runs,num_grids,n_particles,active_grid_cells,particles_per_active_cell
cuda_v1,32768,55.14675212005386,181334341.83449483,18.133434183449484,2.757337606002693,1,32,10000000,16777.216000000004,596.0464477539061
cuda_v1,262144,54.94051276007667,182015046.7774055,18.20150467774055,2.7470256380038336,1,64,10000000,134217.72800000003,74.50580596923827
cuda_v1,2097152,60.29329342010897,165855925.80459055,16.585592580459053,3.0146646710054483,1,128,10000000,1073741.8240000005,9.313225746154783
cuda_v1,16777216,154.1050063399598,64890818.5237002,6.48908185237002,7.70525031699799,1,256,10000000,8589934.592000002,1.164153218269348
cuda_v2,32768,57.656214099843055,173441842.41239005,17.344184241239006,2.8828107049921528,1,32,10000000,16777.216000000004,596.0464477539061
cuda_v2,262144,57.21220015984727,174787894.4012052,17.47878944012052,2.8606100079923635,1,64,10000000,134217.72800000003,74.50580596923827
cuda_v2,2097152,65.18708214018261,153404626.67887694,15.340462667887694,3.2593541070091305,1,128,10000000,1073741.8240000005,9.313225746154783
cuda_v2,16777216,155.74707024003146,64206665.23349929,6.420666523349929,7.787353512001573,1,256,10000000,8589934.592000002,1.164153218269348
cuda_v3,32768,54.48519471974578,183536097.30931064,18.353609730931066,2.724259735987289,1,32,10000000,16777.216000000004,596.0464477539061
cuda_v3,262144,54.59350348013686,183171977.66284356,18.317197766284355,2.729675174006843,1,64,10000000,134217.72800000003,74.50580596923827
cuda_v3,2097152,54.87254170002416,182240510.2841372,18.22405102841372,2.743627085001208,1,128,10000000,1073741.8240000005,9.313225746154783
cuda_v3,16777216,57.83530032000272,172904782.10833177,17.290478210833175,2.891765016000136,1,256,10000000,8589934.592000002,1.164153218269348
cuda_v4,32768,62.31743069976801,160468746.6686143,16.04687466686143,3.1158715349884005,1,32,10000000,16777.216000000004,596.0464477539061
cuda_v4,262144,52.14477264002198,191773777.0003207,19.17737770003207,2.607238632001099,1,64,10000000,134217.72800000003,74.50580596923827
cuda_v4,2097152,51.16331972007174,195452524.478722,19.5452524478722,2.558165986003587,1,128,10000000,1073741.8240000005,9.313225746154783
cuda_v4,16777216,86.49353300017538,115615580.18424018,11.561558018424018,4.324676650008769,1,256,10000000,8589934.592000002,1.164153218269348
cutile_v1,32768,66.87158868007828,149540338.39155823,14.954033839155825,3.3435794340039138,1,32,10000000,16777.216000000004,596.0464477539061
cutile_v1,262144,61.26782056002412,163217818.2379279,16.321781823792794,3.063391028001206,1,64,10000000,134217.72800000003,74.50580596923827
cutile_v1,2097152,68.96493976004422,145001214.1646738,14.500121416467382,3.448246988002211,1,128,10000000,1073741.8240000005,9.313225746154783
cutile_v1,16777216,125.12432394025384,79920511.73659045,7.992051173659044,6.256216197012691,1,256,10000000,8589934.592000002,1.164153218269348
cutile_v3,32768,34.547926539962646,289452971.6112686,28.94529716112686,1.7273963269981325,1,32,10000000,16777.216000000004,596.0464477539061
cutile_v3,262144,34.27257251983974,291778505.80697405,29.17785058069741,1.713628625991987,1,64,10000000,134217.72800000003,74.50580596923827
cutile_v3,2097152,39.644368780136574,252242633.8897948,25.22426338897948,1.9822184390068287,1,128,10000000,1073741.8240000005,9.313225746154783
cutile_v3,16777216,86.60848782019457,115462124.46014205,11.546212446014202,4.330424391009728,1,256,10000000,8589934.592000002,1.164153218269348
jax,32768,77.08481872017728,129727229.9011382,12.97272299011382,3.854240936008864,1,32,10000000,16777.216000000004,596.0464477539061
jax,262144,77.08554217999335,129726012.39088622,12.972601239088622,3.854277108999668,1,64,10000000,134217.72800000003,74.50580596923827
jax,2097152,98.61039856012212,101409183.4737192,10.14091834737192,4.930519928006106,1,128,10000000,1073741.8240000005,9.313225746154783
jax,16777216,179.81046169996262,55614116.69520272,5.561411669520272,8.99052308499813,1,256,10000000,8589934.592000002,1.164153218269348
