frame,t_s,min_z,mean_z,v_max
0,0.000000,0.100001,0.299974,0.000000
1,0.000200,0.100000,0.299973,0.001960
2,0.000400,0.100000,0.299973,0.003920
3,0.000600,0.099999,0.299972,0.005880
4,0.000800,0.099997,0.299971,0.007840
5,0.001000,0.099996,0.299969,0.009800
6,0.001200,0.099993,0.299967,0.011760
7,0.001400,0.099991,0.299964,0.013720
8,0.001600,0.099988,0.299961,0.015680
9,0.001800,0.099985,0.299958,0.017640
10,0.002000,0.099981,0.299954,0.019600
11,0.002200,0.099977,0.299950,0.021560
12,0.002400,0.099972,0.299945,0.023520
13,0.002600,0.099967,0.299940,0.025480
14,0.002800,0.099962,0.299935,0.027440
15,0.003000,0.099956,0.299929,0.029400
16,0.003200,0.099950,0.299923,0.031360
17,0.003400,0.099944,0.299917,0.033320
18,0.003600,0.099937,0.299910,0.035280
19,0.003800,0.099930,0.299903,0.037240
20,0.004000,0.099922,0.299895,0.039200
21,0.004200,0.099914,0.299887,0.041160
22,0.004400,0.099905,0.299879,0.043120
23,0.004600,0.099897,0.299870,0.045080
24,0.004800,0.099887,0.299861,0.047040
25,0.005000,0.099878,0.299851,0.049000
26,0.005200,0.099868,0.299841,0.050960
27,0.005400,0.099857,0.299830,0.052920
28,0.005600,0.099847,0.299820,0.054880
29,0.005800,0.099835,0.299809,0.056840
30,0.006000,0.099824,0.299797,0.058800
31,0.006200,0.099812,0.299785,0.060760
32,0.006400,0.099800,0.299773,0.062720
33,0.006600,0.099787,0.299760,0.064680
34,0.006800,0.099774,0.299747,0.066640
35,0.007000,0.099760,0.299733,0.068600
36,0.007200,0.099746,0.299719,0.070560
37,0.007400,0.099732,0.299705,0.072520
38,0.007600,0.099717,0.299690,0.074480
39,0.007800,0.099702,0.299675,0.076440
40,0.008000,0.099687,0.299660,0.078400
41,0.008200,0.099671,0.299644,0.080360
42,0.008400,0.099654,0.299628,0.082320
43,0.008600,0.099638,0.299611,0.084280
44,0.008800,0.099621,0.299594,0.086240
45,0.009000,0.099603,0.299576,0.088200
46,0.009200,0.099585,0.299558,0.090160
47,0.009400,0.099567,0.299540,0.092120
48,0.009600,0.099549,0.299522,0.094080
49,0.009800,0.099529,0.299503,0.096040
50,0.010000,0.099510,0.299483,0.098000
51,0.010200,0.099490,0.299463,0.099960
52,0.010400,0.099470,0.299443,0.101920
53,0.010600,0.099449,0.299423,0.103880
54,0.010800,0.099428,0.299402,0.105840
55,0.011000,0.099407,0.299380,0.107799
56,0.011200,0.099385,0.299358,0.109759
57,0.011400,0.099363,0.299336,0.111719
58,0.011600,0.099341,0.299314,0.113679
59,0.011800,0.099318,0.299291,0.115639
60,0.012000,0.099294,0.299268,0.117599
61,0.012200,0.099271,0.299244,0.119559
62,0.012400,0.099247,0.299220,0.121519
63,0.012600,0.099222,0.299195,0.123479
64,0.012800,0.099197,0.299170,0.125439
65,0.013000,0.099172,0.299145,0.127399
66,0.013200,0.099146,0.299119,0.129359
67,0.013400,0.099120,0.299093,0.131319
68,0.013600,0.099094,0.299067,0.133280
69,0.013800,0.099067,0.299040,0.135240
70,0.014000,0.099039,0.299013,0.137200
71,0.014200,0.099012,0.298985,0.139160
72,0.014400,0.098984,0.298957,0.141120
73,0.014600,0.098955,0.298928,0.143080
74,0.014800,0.098927,0.298900,0.145040
75,0.015000,0.098897,0.298870,0.147000
76,0.015200,0.098868,0.298841,0.148961
77,0.015400,0.098838,0.298811,0.150921
78,0.015600,0.098807,0.298780,0.152881
79,0.015800,0.098777,0.298750,0.154841
80,0.016000,0.098745,0.298719,0.156801
81,0.016200,0.098714,0.298687,0.158761
82,0.016400,0.098682,0.298655,0.160721
83,0.016600,0.098650,0.298623,0.162681
84,0.016800,0.098617,0.298590,0.164641
85,0.017000,0.098584,0.298557,0.166602
86,0.017200,0.098550,0.298523,0.168562
87,0.017400,0.098516,0.298489,0.170522
88,0.017600,0.098482,0.298455,0.172482
89,0.017800,0.098447,0.298420,0.174442
90,0.018000,0.098412,0.298385,0.176402
91,0.018200,0.098377,0.298350,0.178362
92,0.018400,0.098341,0.298314,0.180322
93,0.018600,0.098304,0.298278,0.182282
94,0.018800,0.098268,0.298241,0.184243
95,0.019000,0.098231,0.298204,0.186203
96,0.019200,0.098193,0.298166,0.188163
97,0.019400,0.098155,0.298129,0.190123
98,0.019600,0.098117,0.298090,0.192083
99,0.019800,0.098079,0.298052,0.194043
100,0.020000,0.098040,0.298013,0.196003
101,0.020200,0.098000,0.297973,0.197963
102,0.020400,0.097960,0.297933,0.199923
103,0.020600,0.097920,0.297893,0.201884
104,0.020800,0.097880,0.297853,0.203844
105,0.021000,0.097839,0.297812,0.205804
106,0.021200,0.097797,0.297770,0.207764
107,0.021400,0.097756,0.297729,0.209724
108,0.021600,0.097713,0.297686,0.211684
109,0.021800,0.097671,0.297644,0.213644
110,0.022000,0.097628,0.297601,0.215604
111,0.022200,0.097585,0.297558,0.217564
112,0.022400,0.097541,0.297514,0.219524
