frame,t_s,min_z,mean_z,v_max
0,0.000000,0.100001,0.299974,0.000000
1,0.000400,0.100000,0.299973,0.003920
2,0.000800,0.099997,0.299971,0.007840
3,0.001200,0.099993,0.299967,0.011760
4,0.001600,0.099988,0.299961,0.015680
5,0.002000,0.099981,0.299954,0.019600
6,0.002400,0.099972,0.299945,0.023520
7,0.002800,0.099962,0.299935,0.027440
8,0.003200,0.099950,0.299923,0.031360
9,0.003600,0.099937,0.299910,0.035280
10,0.004000,0.099922,0.299895,0.039200
11,0.004400,0.099905,0.299879,0.043120
12,0.004800,0.099887,0.299861,0.047040
13,0.005200,0.099868,0.299841,0.050960
14,0.005600,0.099847,0.299820,0.054880
15,0.006000,0.099824,0.299797,0.058800
16,0.006400,0.099800,0.299773,0.062720
17,0.006800,0.099774,0.299747,0.066640
18,0.007200,0.099746,0.299719,0.070560
19,0.007600,0.099717,0.299690,0.074480
20,0.008000,0.099687,0.299660,0.078400
21,0.008400,0.099654,0.299628,0.082320
22,0.008800,0.099621,0.299594,0.086240
23,0.009200,0.099585,0.299558,0.090160
24,0.009600,0.099549,0.299522,0.094080
25,0.010000,0.099510,0.299483,0.098000
26,0.010400,0.099470,0.299443,0.101920
27,0.010800,0.099428,0.299402,0.105839
28,0.011200,0.099385,0.299358,0.109759
29,0.011600,0.099341,0.299314,0.113679
30,0.012000,0.099294,0.299268,0.117599
31,0.012400,0.099247,0.299220,0.121519
32,0.012800,0.099197,0.299170,0.125439
33,0.013200,0.099146,0.299119,0.129359
34,0.013600,0.099094,0.299067,0.133280
35,0.014000,0.099039,0.299013,0.137200
36,0.014400,0.098984,0.298957,0.141120
37,0.014800,0.098927,0.298900,0.145040
38,0.015200,0.098868,0.298841,0.148961
39,0.015600,0.098807,0.298780,0.152881
40,0.016000,0.098745,0.298719,0.156801
41,0.016400,0.098682,0.298655,0.160721
42,0.016800,0.098617,0.298590,0.164641
43,0.017200,0.098550,0.298523,0.168562
44,0.017600,0.098482,0.298455,0.172482
45,0.018000,0.098412,0.298385,0.176402
46,0.018400,0.098341,0.298314,0.180322
47,0.018800,0.098268,0.298241,0.184243
48,0.019200,0.098193,0.298166,0.188163
49,0.019600,0.098117,0.298090,0.192083
50,0.020000,0.098040,0.298013,0.196003
51,0.020400,0.097960,0.297933,0.199923
52,0.020800,0.097880,0.297853,0.203844
53,0.021200,0.097797,0.297770,0.207764
54,0.021600,0.097713,0.297686,0.211684
55,0.022000,0.097628,0.297601,0.215604
56,0.022400,0.097541,0.297514,0.219524
57,0.022800,0.097452,0.297425,0.223445
58,0.023200,0.097362,0.297335,0.227365
59,0.023600,0.097270,0.297243,0.231285
60,0.024000,0.097177,0.297150,0.235205
61,0.024400,0.097082,0.297055,0.239126
62,0.024800,0.096986,0.296959,0.243046
63,0.025200,0.096888,0.296861,0.246966
64,0.025600,0.096788,0.296761,0.250886
65,0.026000,0.096687,0.296660,0.254806
66,0.026400,0.096584,0.296557,0.258726
67,0.026800,0.096480,0.296453,0.262645
68,0.027200,0.096374,0.296347,0.266565
69,0.027600,0.096267,0.296240,0.270484
70,0.028000,0.096158,0.296131,0.274404
71,0.028400,0.096047,0.296020,0.278324
72,0.028800,0.095935,0.295908,0.282243
73,0.029200,0.095821,0.295794,0.286163
74,0.029600,0.095706,0.295679,0.290083
75,0.030000,0.095589,0.295562,0.294002
76,0.030400,0.095471,0.295444,0.297922
77,0.030800,0.095351,0.295324,0.301842
78,0.031200,0.095229,0.295202,0.305761
79,0.031600,0.095106,0.295079,0.309681
80,0.032000,0.094981,0.294954,0.313601
81,0.032400,0.094855,0.294828,0.317520
82,0.032800,0.094727,0.294700,0.321440
83,0.033200,0.094598,0.294571,0.325359
84,0.033600,0.094467,0.294440,0.329279
85,0.034000,0.094334,0.294308,0.333199
86,0.034400,0.094200,0.294173,0.337119
87,0.034800,0.094065,0.294038,0.341038
88,0.035200,0.093927,0.293901,0.344958
89,0.035600,0.093789,0.293762,0.348878
90,0.036000,0.093648,0.293622,0.352797
91,0.036400,0.093506,0.293480,0.356717
92,0.036800,0.093363,0.293336,0.360636
93,0.037200,0.093218,0.293191,0.364556
94,0.037600,0.093071,0.293044,0.368476
95,0.038000,0.092923,0.292896,0.372395
96,0.038400,0.092773,0.292746,0.376315
97,0.038800,0.092622,0.292595,0.380235
98,0.039200,0.092469,0.292442,0.384154
99,0.039600,0.092315,0.292288,0.388074
100,0.040000,0.092159,0.292132,0.391993
101,0.040400,0.092001,0.291974,0.395913
102,0.040800,0.091842,0.291815,0.399833
103,0.041200,0.091681,0.291654,0.403753
104,0.041600,0.091519,0.291492,0.407672
105,0.042000,0.091355,0.291328,0.411592
106,0.042400,0.091189,0.291163,0.415511
107,0.042800,0.091022,0.290996,0.419431
108,0.043200,0.090854,0.290827,0.423351
109,0.043600,0.090684,0.290657,0.427271
110,0.044000,0.090512,0.290485,0.431190
111,0.044400,0.090339,0.290312,0.435110
112,0.044800,0.090164,0.290137,0.439029
113,0.045200,0.089987,0.289961,0.442949
114,0.045600,0.089809,0.289783,0.446869
115,0.046000,0.089630,0.289603,0.450789
116,0.046400,0.089449,0.289422,0.454708
117,0.046800,0.089266,0.289239,0.458628
118,0.047200,0.089082,0.289055,0.462547
119,0.047600,0.088896,0.288869,0.466467
120,0.048000,0.088709,0.288682,0.470387
121,0.048400,0.088520,0.288493,0.474306
122,0.048800,0.088329,0.288302,0.478226
123,0.049200,0.088137,0.288110,0.482146
124,0.049600,0.087943,0.287917,0.486065
125,0.050000,0.087748,0.287721,0.489985
126,0.050400,0.087551,0.287525,0.493905
127,0.050800,0.087353,0.287326,0.497824
128,0.051200,0.087153,0.287126,0.501744
129,0.051600,0.086952,0.286925,0.505664
130,0.052000,0.086749,0.286722,0.509583
131,0.052400,0.086544,0.286517,0.513503
132,0.052800,0.086338,0.286311,0.517423
133,0.053200,0.086130,0.286103,0.521343
134,0.053600,0.085921,0.285894,0.525262
135,0.054000,0.085710,0.285683,0.529182
136,0.054400,0.085497,0.285470,0.533102
137,0.054800,0.085283,0.285256,0.537021
138,0.055200,0.085068,0.285041,0.540941
139,0.055600,0.084850,0.284824,0.544860
140,0.056000,0.084632,0.284605,0.548780
141,0.056400,0.084411,0.284384,0.552700
142,0.056800,0.084189,0.284163,0.556619
143,0.057200,0.083966,0.283939,0.560539
144,0.057600,0.083741,0.283714,0.564459
145,0.058000,0.083514,0.283487,0.568378
146,0.058400,0.083286,0.283259,0.572298
147,0.058800,0.083057,0.283030,0.576217
148,0.059200,0.082825,0.282798,0.580137
149,0.059600,0.082592,0.282565,0.584057
150,0.060000,0.082358,0.282331,0.587977
